personne,s,v,e,date,Jerk_rot,Reduced_state,Neck_local_var,Jerk_pos,Hip_local_var,transition,Hip_roll,Right_hand,Neck_roll,Left_foot,Y,X,Roll_correl,Left_hand,Afford_count,Right_foot
P03,S1,V3,E3,24032014,1228674859999772.8,[0. 0. 0. ... 4. 4. 4.],[0.05739912 0.05735261 0.05730912 ... 0.02526628 0.02527314 0.02527595],49121435938223.49,[0.09382793 0.09400752 0.09418728 ... 0.04345597 0.04340233 0.04334795],"[[ 0.  5.  8.  8. 13.]
 [ 1.  0.  9.  0.  0.]
 [12.  5.  0.  0.  0.]
 [ 5.  0.  0.  0.  6.]
 [15.  0.  0.  3.  0.]]",[0.16218148 0.16204544 0.16158397 ... 0.04584699 0.03703646 0.02764373],[0. 0. 0. ... 0. 0. 0.],[0.004528   0.00724364 0.01066683 ... 0.3496603  0.34501266 0.33989988],[0. 0. 0. ... 0. 0. 0.],"[-20.99996869 -20.99999578 -21.00157204 ... 898.70122594 899.20235942
 899.68183546]","[-30.00001923 -29.99998764 -29.99999543 ... 264.20932303 263.87562443
 263.52796356]",[0.94798435 0.94816193 0.94833404 ... 0.59682367 0.59363529 0.59037856],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 1. 1. 1.]
P24,S1,V4,E4,28032014,3169010122267710.0,[0. 0. 0. ... 4. 4. 4.],[0.01953879 0.01950597 0.01947412 ... 0.01241366 0.0121827  0.01195062],352061182608948.56,[0.01635275 0.01641822 0.01648567 ... 0.01790401 0.01774032 0.01756921],"[[ 0.  1. 12. 11.  7.]
 [ 2.  0. 15.  0.  0.]
 [11. 16.  0.  0.  0.]
 [11.  0.  0.  0.  0.]
 [ 6.  0.  0.  0.  0.]]","[ 0.01626834  0.02384845  0.03180737 ... -1.4233386  -1.42610028
 -1.42603208]",[0. 0. 0. ... 0. 0. 0.],"[-0.09515981 -0.09213333 -0.08843991 ... -1.21471444 -1.21625018
 -1.21792939]",[0. 0. 0. ... 1. 1. 1.],"[-10.00001402 -10.00003061 -10.00156546 ... 449.03119955 449.01265278
 448.9969487 ]","[-10.99999732 -10.9998984  -10.99851228 ... 240.58428531 241.10263587
 241.65446211]",[0.77066261 0.76981595 0.76897734 ... 0.73742816 0.73413408 0.73062085],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 1. 1. 1.]
P32,S1,V3,E3,14042014,2.5472123893627292e+16,[0. 4. 4. ... 4. 4. 4.],[0.00427719 0.00428181 0.00428651 ... 0.01804837 0.01801773 0.01798276],1617565641965928.5,[0.02720427 0.02717524 0.02714781 ... 0.03710882 0.03675166 0.03638849],"[[ 0. 11. 10. 14. 24.]
 [ 2.  0. 23.  0.  0.]
 [19. 14.  0.  0.  0.]
 [15.  0.  0.  0.  0.]
 [22.  0.  0.  1.  0.]]","[-0.03234083 -0.029105   -0.02564214 ...  0.11139771  0.09675689
  0.08015819]",[0. 0. 0. ... 0. 0. 0.],"[ 0.34657037  0.35106272  0.35534342 ... -0.10560327 -0.10613365
 -0.10811171]",[1. 1. 1. ... 1. 1. 1.],"[  5.00003438   5.00005347   4.99994417 ... 876.40769003 877.68351612
 879.03722222]","[ -5.99997687  -5.99983711  -5.9969737  ... 291.47269558 291.19012295
 290.88399944]",[0.65396483 0.65336843 0.65285619 ... 0.31379331 0.31066495 0.3073464 ],[0. 0. 0. ... 0. 0. 0.],[0. 1. 1. ... 1. 1. 1.],[0. 0. 0. ... 0. 0. 0.]
P20,S2,V2,E1,10042014,1.5186792619526016e+16,[0. 4. 4. ... 4. 4. 4.],[0.01534193 0.01534382 0.01534614 ... 0.01980082 0.01977712 0.0197542 ],897320422063954.8,[0.04594493 0.04597584 0.04600649 ... 0.0284719  0.02858625 0.02870594],"[[ 0.  7. 14. 13. 15.]
 [ 0.  0. 15.  0.  0.]
 [20.  8.  0.  0.  1.]
 [13.  0.  0.  0.  0.]
 [15.  0.  0.  0.  0.]]","[-0.62472676 -0.62972976 -0.63521866 ...  0.31258131  0.31765386
  0.32074281]",[0. 0. 0. ... 0. 0. 0.],"[-0.26715386 -0.26984877 -0.27239494 ...  0.06269436  0.06395128
  0.06517564]",[1. 1. 1. ... 0. 0. 0.],"[ 38.00002945  38.00000898  37.99838549 ... 947.83580671 947.89086257
 947.95257029]","[  6.00001345   6.00003227   5.99995274 ... 270.40741203 270.47731231
 270.54269716]",[0.77345373 0.77282877 0.77214876 ... 0.5320946  0.53163418 0.53119104],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 1. 1. 1.],[0. 0. 0. ... 0. 0. 0.]
P21,S2,V2,E1,11042014,451469020745995.2,[0. 0. 0. ... 0. 0. 0.],[0.03486855 0.03467148 0.0344666  ... 0.02062426 0.02060051 0.02057245],36440002347784.61,[0.00434066 0.00430953 0.00427694 ... 0.02751229 0.02737756 0.02724842],"[[ 0.  3.  6.  9. 10.]
 [ 1.  0.  4.  0.  0.]
 [ 8.  2.  0.  0.  0.]
 [10.  0.  0.  0.  0.]
 [ 9.  0.  0.  1.  0.]]","[ 0.30479936  0.30708948  0.30912868 ... -0.62162468 -0.62187994
 -0.62292466]",[0. 0. 0. ... 0. 0. 0.],[0.62648599 0.63046365 0.63315016 ... 0.07844394 0.07877658 0.08121886],[0. 0. 0. ... 0. 0. 0.],"[-4.99998823 -4.99997923 -5.00002631 ... 76.70685573 76.60466213
 76.49609054]","[-16.99998863 -16.99997115 -17.0000295  ... 291.68238594 291.58262765
 291.47439277]",[0.59525367 0.59241814 0.58942817 ... 0.58405628 0.58243447 0.58067206],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
P00,S1,V4,E3,27032014,1757005935043580.0,[0. 4. 4. ... 4. 4. 4.],[0.03307847 0.03305452 0.03302057 ... 0.02899714 0.02910597 0.02921871],78044366385950.06,[0.27123582 0.26990684 0.26857006 ... 0.03233974 0.03243056 0.03251579],"[[ 0.  5.  5. 11.  9.]
 [ 2.  0. 16.  0.  0.]
 [ 9. 13.  0.  0.  0.]
 [11.  0.  0.  0.  0.]
 [ 7.  0.  1.  0.  0.]]","[-0.6271014  -0.62726415 -0.62777056 ...  0.28025148  0.28598639
  0.29284222]",[0. 0. 0. ... 0. 0. 0.],"[-0.1123638  -0.11818256 -0.12295528 ...  0.41704243  0.41246301
  0.4075961 ]",[1. 1. 1. ... 1. 1. 1.],"[ 10.00004946  10.0000864    9.99988869 ... 935.02950662 935.75008976
 936.56707368]","[ -2.99998387  -2.99996649  -3.0000393  ... 268.5913064  268.94307316
 269.27092123]",[0.89045827 0.88979207 0.88912616 ... 0.95387086 0.95410325 0.95430918],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 3. 3. 3.],[0. 0. 0. ... 1. 1. 1.]
P09,S1,V4,E3,21032014,297586371710151.2,[2. 4. 4. ... 4. 4. 4.],[0.03520425 0.0350519  0.03491044 ... 0.00718632 0.00717655 0.00717115],29128840064502.043,[0.21057674 0.203687   0.19693465 ... 0.08277516 0.08279659 0.08281163],"[[0. 0. 9. 6. 6.]
 [0. 0. 6. 0. 0.]
 [8. 6. 0. 0. 2.]
 [6. 0. 0. 0. 1.]
 [7. 0. 0. 1. 0.]]","[ 1.01318059  0.99098061  0.96749178 ... -1.31189026 -1.30277392
 -1.2934986 ]",[0. 0. 0. ... 0. 0. 0.],"[ 0.03685178  0.02814791  0.0183319  ... -0.21746106 -0.21431929
 -0.21113212]",[1. 1. 1. ... 1. 1. 1.],"[-19.99997314 -19.99992509 -20.00007279 ... 883.35062629 883.40572167
 883.545048  ]","[ 51.00000316  50.99988847  50.99700484 ... 260.1645207  259.65502255
 259.13943486]","[ 0.80750837  0.80608201  0.80471118 ... -0.53173487 -0.532055
 -0.53225773]",[0. 0. 0. ... 1. 1. 1.],[0. 2. 2. ... 2. 2. 2.],[1. 1. 1. ... 0. 0. 0.]
P18,S2,V3,E3,03042014,2.410769081579493e+16,[0. 4. 4. ... 4. 4. 4.],[0.02376886 0.02368646 0.02360358 ... 0.02222607 0.02222805 0.02223149],2244700753008234.0,[0.08723323 0.08718635 0.08714599 ... 0.04284792 0.04240812 0.04196958],"[[ 0.  4. 11. 12. 10.]
 [ 2.  0. 15.  0.  0.]
 [15. 12.  0.  0.  0.]
 [13.  0.  1.  0.  1.]
 [ 6.  1.  0.  3.  0.]]",[0.25709204 0.25379442 0.24990438 ... 1.66187503 1.66078896 1.66006307],[0. 0. 0. ... 0. 0. 0.],[0.20481854 0.20438635 0.20400219 ... 1.14459013 1.14821206 1.15204284],[1. 1. 1. ... 1. 1. 1.],"[ 27.00002498  27.00006422  26.99993607 ... 986.12837464 985.89183202
 985.69572996]","[ 20.99999894  21.00001285  20.99999603 ... 314.07492303 313.81604544
 313.54374744]",[0.77375523 0.77299556 0.77226441 ... 0.76619253 0.76374206 0.7612035 ],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 3. 3. 3.],[0. 0. 0. ... 1. 1. 1.]
P09,S1,V3,E4,21032014,1060634683440856.8,[0. 0. 0. ... 4. 4. 4.],[0.04333546 0.04329252 0.04325256 ... 0.04344372 0.04345044 0.04345592],71806938884779.05,[0.02370133 0.0236359  0.02357021 ... 0.04059798 0.04041503 0.04023299],"[[ 0.  9.  6.  9. 16.]
 [ 0.  0. 10.  0.  0.]
 [15.  1.  0.  0.  0.]
 [ 8.  0.  0.  0.  2.]
 [16.  0.  0.  1.  0.]]",[0.26899437 0.26906388 0.269074   ... 0.01042973 0.00753675 0.00421867],[0. 0. 0. ... 0. 0. 0.],[0.45464424 0.45309819 0.45139281 ... 0.2616602  0.25856983 0.25508444],[0. 0. 0. ... 0. 0. 0.],"[-16.99997782 -16.99994118 -17.00005605 ... 892.74206642 893.10287468
 893.45966198]","[ -3.99999251  -3.99998365  -4.00001752 ... 262.09831529 262.19342123
 262.31860557]",[0.70866049 0.70609096 0.70345337 ... 0.55582199 0.55574472 0.55566473],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 2. 2. 2.],[0. 0. 0. ... 1. 1. 1.]
P15,S2,V3,E2,31032014,7962210640915704.0,[0. 0. 0. ... 4. 4. 4.],[0.02220394 0.02217161 0.02213929 ... 0.08656521 0.0863424  0.08611576],431864498736920.5,[0.03239855 0.03229979 0.03219841 ... 0.020161   0.01993532 0.019707  ],"[[ 0.  4.  9. 13. 15.]
 [ 3.  0. 15.  0.  0.]
 [10. 14.  0.  0.  0.]
 [14.  0.  0.  0.  1.]
 [13.  0.  0.  2.  0.]]","[-0.66960871 -0.67189933 -0.67396909 ...  0.46698544  0.46694535
  0.46646284]",[0. 0. 0. ... 1. 1. 1.],"[-0.37328748 -0.37426463 -0.37540884 ...  0.69701436  0.70008459
  0.70534432]",[0. 0. 0. ... 0. 0. 0.],"[ 37.00001357  37.00006079  36.9999532  ... 981.51814733 981.49938285
 981.48847155]","[ 16.99997368  17.0000205   16.99999711 ... 303.66371129 303.47033353
 303.27853723]",[0.9767609  0.97671955 0.97667289 ... 0.40624693 0.40231218 0.39827272],[0. 0. 0. ... 1. 1. 1.],[0. 0. 0. ... 3. 3. 3.],[0. 0. 0. ... 1. 1. 1.]
P20,S2,V3,E3,10042014,1.573649128346029e+16,[0. 4. 4. ... 4. 4. 4.],[0.03853083 0.03853439 0.0385376  ... 0.01206313 0.01224251 0.01243748],1115695626173017.8,[0.07513196 0.07522919 0.07536046 ... 0.01990397 0.01990762 0.01991087],"[[ 0.  7.  8.  9.  7.]
 [ 0.  0. 10.  0.  0.]
 [14.  3.  0.  0.  1.]
 [10.  0.  0.  0.  0.]
 [ 6.  0.  0.  1.  0.]]","[-0.73975139 -0.74084858 -0.74130408 ...  0.43997973  0.44026547
  0.44109032]",[0. 0. 0. ... 0. 0. 0.],"[-0.17328247 -0.17717128 -0.18030909 ...  0.97582706  0.98937182
  1.00275646]",[1. 1. 1. ... 0. 0. 0.],"[ 31.00002564  31.00006972  30.99993306 ... 959.55930699 959.92062974
 960.31443569]","[ 12.0000227   12.00008081  12.00146087 ... 280.08405722 279.95758718
 279.83313451]",[0.67404669 0.6739649  0.67381902 ... 0.22908984 0.22418492 0.21911443],[1. 1. 1. ... 1. 1. 1.],[0. 2. 2. ... 2. 2. 2.],[0. 0. 0. ... 1. 1. 1.]
P26,S1,V4,E4,31032014,3769610025235532.5,[2. 4. 4. ... 4. 4. 4.],[0.03569352 0.03611923 0.03654922 ... 0.00472771 0.00469486 0.00466217],191466613944438.1,[0.45145371 0.45416927 0.45691685 ... 0.00182473 0.00183233 0.00183998],"[[ 0.  0.  4.  6.  3.]
 [ 1.  0. 14.  0.  0.]
 [ 4. 15.  0.  0.  1.]
 [ 6.  0.  0.  0.  0.]
 [ 2.  0.  1.  0.  0.]]",[0.75514844 0.73676686 0.71765229 ... 0.07610269 0.07614633 0.07557367],[0. 0. 0. ... 1. 1. 1.],[0.0994263  0.09232623 0.08583247 ... 0.26401782 0.26267892 0.262247  ],[1. 1. 1. ... 1. 1. 1.],"[-39.99997065 -39.99991345 -40.00008139 ... 926.94264681 926.87028769
 926.79576127]","[ 53.0000272   53.0001048   53.00145336 ... 261.18031108 261.1289352
 261.11492052]",[0.90696673 0.90692186 0.90691122 ... 0.62150015 0.61412586 0.60670007],[0. 0. 0. ... 1. 1. 1.],[0. 1. 1. ... 3. 3. 3.],[0. 0. 0. ... 0. 0. 0.]
P13,S2,V3,E3,31032014,2365745417873729.5,[2. 4. 4. ... 4. 4. 4.],[0.023054   0.02303206 0.02300627 ... 0.02422956 0.02419814 0.02416332],177619019983236.88,[0.01209148 0.01216182 0.01223646 ... 0.06669928 0.06668602 0.06665538],"[[ 0.  3.  8.  9.  5.]
 [ 1.  0. 13.  0.  0.]
 [10. 10.  0.  0.  2.]
 [ 9.  0.  0.  0.  0.]
 [ 5.  1.  0.  0.  0.]]","[ 0.01134696 -0.00779748 -0.02537528 ...  0.16559369  0.1563992
  0.14738685]",[0. 0. 0. ... 0. 0. 0.],"[-0.23429948 -0.2404983  -0.24288281 ...  0.06507994  0.0608968
  0.05780735]",[1. 1. 1. ... 1. 1. 1.],"[ 25.00002402  25.000068    24.99993416 ... 886.06650258 886.79671137
 887.53773345]","[ 7.14621602e-06  2.20389594e-05 -2.04647312e-05 ...  2.89965683e+02
  2.89826946e+02  2.89712780e+02]",[0.72507823 0.72648923 0.72754579 ... 0.83969697 0.83942983 0.8391389 ],[0. 0. 0. ... 0. 0. 0.],[0. 2. 2. ... 1. 1. 1.],[1. 1. 1. ... 0. 0. 0.]
P06,S1,V1,E1,27032014,688957802089737.1,[0. 4. 4. ... 4. 4. 4.],[0.02301329 0.02299557 0.02297602 ... 0.06589    0.06577505 0.06565933],32693377759024.49,[0.05992611 0.05954691 0.05915813 ... 0.14768798 0.14737996 0.14707098],"[[ 0.  3.  7. 10. 11.]
 [ 0.  0. 12.  0.  0.]
 [ 9.  9.  0.  0.  1.]
 [ 9.  0.  0.  0.  1.]
 [12.  0.  0.  0.  0.]]","[-0.56851739 -0.57218752 -0.57705391 ... -0.70296651 -0.70220368
 -0.70082022]",[0. 0. 0. ... 0. 0. 0.],"[-0.16278911 -0.16479537 -0.16703937 ...  0.04820908  0.04536832
  0.04256241]",[1. 1. 1. ... 0. 0. 0.],"[  8.99997723   9.00011285   9.00148862 ... 923.84753636 923.89276065
 923.94571285]","[-13.00002661 -12.99993526 -12.99847999 ... 244.9803376  245.17046663
 245.3395131 ]",[0.94229979 0.94337432 0.94445133 ... 0.91311496 0.91254813 0.9119969 ],[0. 0. 0. ... 0. 0. 0.],[0. 1. 1. ... 1. 1. 1.],[0. 0. 0. ... 1. 1. 1.]
